First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Lyman,Good,Cyborg,"6' 0""",170 lbs.,"74.0""",Orthodox,21,6,0,False
Jared,Gooden,NiteTrain,"6' 0""",170 lbs.,"77.0""",Orthodox,23,10,0,False
Gary,Goodridge,Big Daddy,"6' 3""",249 lbs.,--,Orthodox,23,22,1,False
Jordan,Goodwin,,--,155 lbs.,--,,0,0,0,False
Gerard,Gordeau,,"6' 5""",216 lbs.,--,Orthodox,2,2,0,False
Eddie,Gordon,Truck,"6' 0""",185 lbs.,"76.0""",Orthodox,8,4,0,False
Jared,Gordon,Flash,"5' 9""",155 lbs.,"68.0""",Orthodox,21,8,0,False
Tebaris,Gordon,Boom,"6' 1""",265 lbs.,--,Orthodox,3,1,0,False
Malcolm,Gordon,X,"5' 7""",125 lbs.,"71.0""",Switch,14,8,0,False
Tresean,Gore,Mr. Vicious,"6' 0""",185 lbs.,"75.0""",Switch,6,4,0,False
Alex,Gorgees,Hitman,"6' 2""",155 lbs.,"74.0""",Switch,6,1,0,False
Themba,Gorimbo,The Answer,"6' 1""",170 lbs.,"77.0""",Orthodox,14,5,0,False
Tim,Gorman,The Psycho,"5' 5""",135 lbs.,--,Southpaw,9,4,0,False
Chase,Gormley,,"6' 3""",265 lbs.,--,Orthodox,14,6,0,False
Jonathan,Goulet,The Road Warrior,"6' 0""",170 lbs.,"73.0""",Orthodox,23,12,0,False
Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12,5,0,False
Wilson,Gouveia,,"6' 1""",185 lbs.,"76.0""",Orthodox,14,8,0,False
Todd,Gouwenberg,,"6' 1""",205 lbs.,--,Orthodox,9,5,0,False
Hugo,Govea,,--,--,--,,0,1,0,False
Justin,Governale,The Therapist,--,145 lbs.,--,,5,5,0,False
Damian,Grabowski,The Polish Pitbull,"6' 1""",241 lbs.,"75.0""",Orthodox,20,5,0,False
Patryk,Grabowski,Czapla,--,205 lbs.,--,,5,1,0,False
Royce,Gracie,,"6' 1""",175 lbs.,--,Southpaw,15,2,3,False
Crosley,Gracie,,"5' 9""",190 lbs.,--,Orthodox,2,2,0,False
Daniel,Gracie,,"6' 2""",225 lbs.,--,Orthodox,5,4,1,False
Ralph,Gracie,,"5' 9""",183 lbs.,--,Orthodox,6,1,0,False
Renzo,Gracie,,"5' 10""",185 lbs.,--,Orthodox,13,7,1,False
Rickson,Gracie,,"5' 10""",185 lbs.,--,Switch,11,0,0,False
Rodrigo,Gracie,,"6' 0""",183 lbs.,--,Orthodox,6,2,1,False
Royler,Gracie,,"5' 8""",150 lbs.,--,Southpaw,5,5,1,False
Ryan,Gracie,,"5' 9""",200 lbs.,--,Orthodox,5,2,0,False
Ralek,Gracie,,"6' 2""",210 lbs.,--,Orthodox,3,1,0,False
Rolles,Gracie,,"6' 4""",242 lbs.,--,Orthodox,8,4,0,False
Cesar,Gracie,,"5' 10""",181 lbs.,--,Orthodox,0,1,0,False
Roger,Gracie,,"6' 4""",185 lbs.,"79.0""",Orthodox,8,2,0,False
Igor,Gracie,,"5' 11""",170 lbs.,--,,5,4,0,False
Neiman,Gracie,,"6' 0""",170 lbs.,--,,6,0,0,False
Kron,Gracie,,"5' 9""",145 lbs.,"70.0""",Southpaw,5,3,0,False
Bogdan,Grad,The Unleashed,"5' 8""",145 lbs.,"70.0""",Orthodox,15,3,0,False
Steven,Graham,,"6' 1""",290 lbs.,--,Orthodox,2,1,0,False
Scott,Graham,,"6' 4""",185 lbs.,--,Orthodox,3,1,0,False
Miranda,Granger,Danger,"5' 7""",115 lbs.,"68.0""",Orthodox,7,3,0,False
TJ,Grant,,"5' 10""",155 lbs.,"72.0""",Orthodox,21,5,0,False
Davey,Grant,Dangerous,"5' 8""",135 lbs.,"69.0""",Orthodox,17,7,0,False
Dwight,Grant,The Body Snatcher,"6' 1""",185 lbs.,"76.0""",Switch,11,6,0,False
Alexa,Grasso,,"5' 5""",125 lbs.,"66.0""",Orthodox,16,5,1,False
Tony,Gravely,,"5' 5""",135 lbs.,"69.0""",Orthodox,23,9,0,False
Michael,Graves,,"5' 10""",170 lbs.,"71.0""",Orthodox,6,0,1,False
Shelton,Graves,The Gravedigger,"6' 2""",255 lbs.,"76.0""",Southpaw,7,3,0,False
James,Gray,The Phenom,"5' 9""",135 lbs.,--,Orthodox,4,1,0,False
Kevin,Gray,Pocket Herc,"5' 4""",125 lbs.,"67.0""",Orthodox,9,4,0,False
Sam,Greco,,"6' 2""",205 lbs.,--,Orthodox,3,1,1,False
King,Green,,"5' 10""",155 lbs.,"71.0""",Orthodox,32,17,1,False
Desmond,Green,The Predator,"5' 10""",155 lbs.,"73.0""",Southpaw,23,8,0,False
Gabe,Green,Gifted,"5' 10""",155 lbs.,"73.0""",Switch,12,5,0,False
Maurice,Greene,The Crochet Boss,"6' 7""",258 lbs.,"80.0""",Orthodox,9,7,0,False
Matt,Grice,The Real One,"5' 8""",145 lbs.,"70.0""",Orthodox,15,5,0,False
Forrest,Griffin,,"6' 3""",205 lbs.,"77.0""",Orthodox,19,7,0,False
Tyson,Griffin,,"5' 6""",145 lbs.,"68.0""",Orthodox,16,8,0,False
Max,Griffin,Pain,"5' 11""",170 lbs.,"76.0""",Orthodox,20,12,0,False
Jordan,Griffin,Native Psycho,"5' 10""",145 lbs.,"73.0""",Southpaw,18,9,0,False
Chad,Griggs,The Grave Digger,"6' 1""",205 lbs.,"73.0""",Orthodox,11,3,0,False
Charalampos,Grigoriou,Ferocious,"5' 7""",135 lbs.,"67.0""",Orthodox,8,5,0,False
Chuck,Grigsby,The Reverend,"6' 6""",205 lbs.,--,Orthodox,23,10,0,False
Rodrigo,Gripp de Sousa,Riscado,"5' 11""",205 lbs.,--,Orthodox,7,9,0,False
Maxim,Grishin,Maximus,"6' 3""",205 lbs.,"78.0""",Orthodox,32,10,2,False
Josh,Grispi,The Fluke,"5' 11""",145 lbs.,"74.0""",Orthodox,14,5,0,False
Garrett,Gross,,"5' 9""",155 lbs.,--,Orthodox,11,7,0,False
Kendall,Grove,Da Spyder,"6' 6""",185 lbs.,"79.0""",Orthodox,23,17,0,False
Neil,Grove,Goliath,"6' 6""",265 lbs.,--,Orthodox,12,8,1,False
Chris,Gruetzemacher,Gritz,"5' 8""",155 lbs.,"68.0""",Orthodox,15,5,0,False
Vik,Grujic,The Spartan,"5' 11""",170 lbs.,"73.0""",Orthodox,6,6,0,False
Mike,Grundy,,"5' 7""",145 lbs.,"72.0""",Orthodox,12,4,0,False
Wang,Guan,The Dongbei Tiger,"5' 9""",145 lbs.,"71.0""",Orthodox,20,1,1,False
Anthony,Guarascio,The Daywalker,"6' 2""",233 lbs.,"72.0""",Orthodox,3,1,0,False
Nandor,Guelmino,The Hun,"6' 3""",230 lbs.,--,,11,5,1,False
Fabricio,Guerreiro,,"5' 10""",145 lbs.,--,,21,5,0,False
Rainn,Guerrero,Purple Rainn,"5' 6""",125 lbs.,"65.0""",Orthodox,5,2,0,False
Shannon,Gugerty,,"5' 10""",155 lbs.,"71.0""",Orthodox,15,7,0,False
Clay,Guida,The Carpenter,"5' 7""",155 lbs.,"70.0""",Orthodox,38,22,0,False
Jason,Guida,,"5' 10""",214 lbs.,--,,19,28,0,False
Melvin,Guillard,The Young Assassin,"5' 9""",155 lbs.,"71.0""",Orthodox,32,18,2,False
Chris,Guillen,,"6' 0""",240 lbs.,--,Orthodox,13,16,0,False
Marcelo,Guimaraes,Magrao,"6' 0""",185 lbs.,"73.0""",Orthodox,9,2,1,False
Leonardo,Guimaraes,Leleco,"6' 0""",185 lbs.,--,Orthodox,11,5,0,False
Brad,Gumm,,"5' 11""",170 lbs.,--,Orthodox,10,6,1,False
John,Gunderson,Quick Guns,"5' 9""",155 lbs.,"69.0""",Orthodox,35,16,2,False
John,Gunther,The Machine,"5' 9""",155 lbs.,"72.0""",Orthodox,5,1,0,False
Jorge,Gurgel,,"5' 7""",155 lbs.,"69.0""",Orthodox,14,10,0,False
Fabio,Gurgel,,"6' 0""",205 lbs.,--,Orthodox,3,2,0,False
Luis,Gurule,Grim,"5' 5""",125 lbs.,"64.0""",Orthodox,10,2,0,False
Bogdan,Guskov,Czarevitch,"6' 3""",205 lbs.,"76.0""",Orthodox,18,3,0,False
Gugun,Gusman,The Tiger,"5' 7""",135 lbs.,"68.0""",Orthodox,8,4,0,False
Andre,Gusmao,,"6' 0""",205 lbs.,--,Orthodox,6,3,0,False
Alexander,Gustafsson,The Mauler,"6' 5""",205 lbs.,"79.0""",Orthodox,18,8,0,False
Andreas,Gustafsson,Bane,"6' 1""",170 lbs.,"73.0""",Orthodox,12,3,0,False
Justin,Guthrie,,"6' 1""",170 lbs.,--,,18,9,0,False
Horacio,Gutierrez,The Punisher,"5' 10""",145 lbs.,--,,4,3,0,False
Chris,Gutierrez,El Guapo,"5' 9""",135 lbs.,"67.0""",Orthodox,22,6,2,False
Mando,Gutierrez,El Toro,"5' 6""",135 lbs.,"70.0""",Southpaw,7,2,0,False
Mike,Guymon,The Joker,"6' 0""",170 lbs.,"74.0""",Orthodox,15,6,1,False
Chelsea,Hackett,Hammer,"5' 4""",125 lbs.,"66.0""",Switch,3,1,1,False
Keith,Hackney,The Giant Killer,"5' 11""",200 lbs.,--,Sideways,2,2,0,False
Cody,Haddon,,"5' 7""",135 lbs.,"69.0""",Orthodox,8,1,0,False
Jake,Hadley,White Kong,"5' 7""",135 lbs.,"70.0""",Southpaw,11,4,0,False
Steve,Hadsel,,"5' 8""",170 lbs.,--,,3,0,0,False
Damir,Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,14,8,0,False
Bassil,Hafez,The Habibi,"5' 11""",170 lbs.,"72.0""",Orthodox,9,4,1,False
Tim,Hague,The Trashing Machine,"6' 4""",260 lbs.,"76.0""",Orthodox,21,13,0,False
Theo,Haig,,"6' 2""",185 lbs.,"77.0""",Orthodox,6,1,0,False
Yazan,Hajeh,Yazzle Dazzle,"5' 9""",145 lbs.,--,Orthodox,6,1,0,False
Stoney,Hale,The Skuller,"6' 0""",--,--,,5,3,0,False
Kevin,Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,6,4,0,False
Mark,Hall,,"6' 0""",190 lbs.,--,Orthodox,5,6,0,False
Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,18,11,0,False
Ryan,Hall,The Wizard,"5' 10""",145 lbs.,"70.0""",Southpaw,9,2,0,False
Dennis,Hallman,Superman,"5' 9""",155 lbs.,"72.0""",Orthodox,53,20,2,False
Piotr,Hallmann,Pletwal,"5' 9""",155 lbs.,"71.0""",Orthodox,18,6,0,False
Tony,Halme,,"6' 3""",300 lbs.,--,Orthodox,0,4,0,False
Brandon,Halsey,Bull,"6' 0""",185 lbs.,--,,9,3,0,False
John,Halverson,The Hurricane,"5' 9""",155 lbs.,--,Southpaw,16,8,0,False
Seo Hee,Ham,,"5' 2""",115 lbs.,"62.0""",Southpaw,17,8,0,False
Frank,Hamaker,,--,--,--,,1,0,0,False
Kazuhiro,Hamanaka,,"6' 0""",185 lbs.,--,Southpaw,5,7,1,False
Rami,Hamed,,"6' 1""",170 lbs.,"71.0""",Orthodox,13,3,0,False
Matt,Hamill,The Hammer,"6' 1""",205 lbs.,"76.0""",Orthodox,12,8,0,False
Jeremy,Hamilton,Hawk,--,185 lbs.,--,,9,2,0,False
Anthony,Hamilton,Freight Train,"6' 5""",260 lbs.,"76.0""",Orthodox,15,9,0,False
CJ,Hamilton,The Autobot,"5' 7""",125 lbs.,"68.0""",Switch,11,4,0,False
Jared,Hamman,The Messenger,"6' 3""",185 lbs.,"75.0""",Orthodox,14,6,0,False
James,Hammortree,The Sledge,"6' 3""",185 lbs.,--,Orthodox,6,3,0,False
Dean,Hancock,The Hammer,--,155 lbs.,--,,2,1,0,False
Chad,Hanekom,Superman,"6' 4""",185 lbs.,"74.0""",Orthodox,9,3,0,False
Joachim,Hansen,Hellboy,"5' 7""",150 lbs.,--,Southpaw,23,14,1,False
Kay,Hansen,,"5' 2""",115 lbs.,"63.0""",Orthodox,7,6,0,False
Nasrat,Haqparast,,"5' 10""",155 lbs.,"72.0""",Southpaw,18,5,0,False
Shin,Haraguchi,,"5' 5""",145 lbs.,"68.0""",Switch,8,2,0,False
Janay,Harding,Hollowpoint,--,135 lbs.,--,,2,3,0,False
Antoni,Hardonk,,"6' 4""",245 lbs.,"78.0""",Orthodox,8,6,0,False
George,Hardwick,King,"5' 10""",155 lbs.,"72.0""",Orthodox,12,2,0,False
Harry,Hardwick,Houdini,"5' 8""",155 lbs.,"71.0""",Switch,13,4,1,False
Dan,Hardy,The Outlaw,"6' 0""",170 lbs.,"74.0""",Orthodox,25,10,0,False
Veronica,Hardy,,"5' 4""",125 lbs.,"64.0""",Southpaw,9,5,1,False
Greg,Hardy,Prince of War,"6' 5""",265 lbs.,"80.0""",Orthodox,7,5,0,False
Tobias,Harila,Bad Intention,--,--,--,,12,3,0,False
Baru,Harn,Seiryu,--,265 lbs.,--,,1,2,0,False
Scott,Harper,,"6' 0""",185 lbs.,--,Orthodox,12,7,0,False
Josiah,Harrell,Muscle Hamster,"5' 7""",170 lbs.,"68.0""",Southpaw,7,0,0,False
Gerry,Harris,,"6' 8""",270 lbs.,--,Orthodox,1,4,0,False
Gerald,Harris,,"5' 11""",185 lbs.,"77.0""",Southpaw,23,5,0,False
Phil,Harris,Billy,"5' 4""",125 lbs.,"65.0""",Orthodox,22,12,0,False
Walt,Harris,The Big Ticket,"6' 5""",250 lbs.,"77.0""",Southpaw,13,10,0,False
Dhafir,Harris,Dada 5000,--,257 lbs.,--,,2,0,0,False
Trevor,Harris,,"5' 6""",145 lbs.,--,,2,2,0,False
Carlston,Harris,Mocambique,"6' 0""",170 lbs.,"76.0""",Orthodox,19,7,0,False
Kayla,Harrison,,"5' 8""",135 lbs.,"66.0""",Southpaw,19,1,0,True
Collin,Hart,,"6' 1""",185 lbs.,--,Orthodox,6,3,1,False
Joey,Hart,The Hitman,"6' 3""",170 lbs.,"79.0""",Orthodox,6,2,0,False
Dale,Hartt,,"5' 10""",155 lbs.,"69.0""",Orthodox,6,3,0,False
Luke,Hartwig,,--,--,--,,0,1,0,False
Clay,Harvison,Bushwacker,"6' 1""",170 lbs.,"74.0""",Orthodox,13,6,0,False
Hidehiko,Hasegawa,,"5' 9""",170 lbs.,--,,19,20,6,False
Chris,Haseman,The Hammer,"5' 11""",205 lbs.,--,Orthodox,20,17,0,False
Takayo,Hashi,,"5' 4""",135 lbs.,--,Orthodox,15,6,1,False
Tomohiko,Hashimoto,,"6' 0""",250 lbs.,--,Orthodox,1,4,0,False
Justin,Haskins,,"5' 10""",170 lbs.,--,Orthodox,7,6,0,False
Hayder,Hassan,Hulk,"5' 10""",170 lbs.,--,,6,3,0,False
Ahmad,Hassanzada,Lion of the Ring,"6' 1""",155 lbs.,"75.0""",Orthodox,11,3,0,False
Daiki,Hata,DJ Taiki,"5' 6""",139 lbs.,--,Orthodox,17,11,7,False
John,Hathaway,The Hitman,"6' 1""",170 lbs.,"75.0""",Orthodox,17,2,0,False
Phil,Hawes,No Hype,"6' 0""",185 lbs.,"77.0""",Orthodox,12,6,0,False
Justin,Hawes,The Hawk,"5' 11""",205 lbs.,--,,6,9,0,False
Chris,Hawk,,"6' 1""",205 lbs.,--,,5,10,0,False
Del,Hawkins,The Filipino Delight,"5' 5""",135 lbs.,--,Orthodox,22,17,0,False
Tommy,Hayden,Wild Card,"5' 9""",145 lbs.,--,Southpaw,11,3,0,False
Mike,Hayes,,"6' 4""",230 lbs.,--,Orthodox,20,12,2,False
Ryan,Hayes,,--,--,--,,7,6,0,False
Gerric,Hayes,,"5' 10""",--,--,,8,11,0,False
Josh,Haynes,Bring the Pain,"5' 9""",170 lbs.,--,Orthodox,14,11,0,False
Dustin,Hazelett,McLovin,"6' 1""",170 lbs.,"76.0""",Orthodox,12,7,0,False
James,Head,,"6' 1""",170 lbs.,"73.0""",Orthodox,9,4,0,False
Pat,Healy,Bam Bam,"6' 0""",155 lbs.,"72.0""",Orthodox,34,23,0,False
Ryan,Healy,The Irish Assassin,"6' 1""",155 lbs.,--,Orthodox,25,14,1,False
Spencer,Hearns,,"5' 11""",185 lbs.,--,,1,0,0,False
David,Heath,,"5' 11""",205 lbs.,"72.0""",Orthodox,18,7,0,False
Chris,Heatherly,Stump,"5' 9""",155 lbs.,--,Orthodox,9,4,0,False
Jake,Hecht,Hitman,"6' 0""",170 lbs.,"73.0""",Orthodox,11,4,0,False
Nick,Hein,Sergeant,"5' 6""",155 lbs.,"66.0""",Southpaw,14,5,0,False
Ian,Heinisch,The Hurricane,"5' 11""",185 lbs.,"72.0""",Orthodox,14,5,0,False
Marcin,Held,,"5' 9""",155 lbs.,"71.0""",Orthodox,23,7,0,False
Delson,Heleno,Pe De Chumbo,"5' 11""",185 lbs.,--,Orthodox,29,10,0,False
Matt,Helm,,--,155 lbs.,--,,1,1,0,False
Elisha,Helsper,Knuckles,"5' 6""",135 lbs.,--,Orthodox,0,4,0,False
Dan,Henderson,Hendo,"5' 11""",185 lbs.,"74.0""",Orthodox,32,15,0,False
Benson,Henderson,Smooth,"5' 9""",170 lbs.,"70.0""",Southpaw,24,7,0,False
Ron,Henderson,,"5' 10""",125 lbs.,--,,4,3,0,False
Josh,Hendricks,,"6' 2""",235 lbs.,--,Southpaw,19,11,0,False
Johny,Hendricks,Bigg Rigg,"5' 9""",185 lbs.,"69.0""",Southpaw,18,8,0,False
Cory,Hendricks,,"6' 3""",205 lbs.,--,Switch,3,1,0,False
Luis,Henrique,KLB,"6' 2""",243 lbs.,"74.0""",Orthodox,10,5,0,False
Jose,Henrique,Canela,"6' 3""",170 lbs.,"79.0""",Orthodox,5,1,0,False
Paulo,Henrique,PH,--,125 lbs.,--,,12,1,0,False
Diego,Henrique da Silva,Gaucho,"6' 2""",185 lbs.,--,Orthodox,8,4,0,False
Danny,Henry,The Hatchet,"6' 0""",145 lbs.,"73.0""",Orthodox,12,4,0,False
Victor,Henry,La Mangosta,"5' 7""",135 lbs.,"68.0""",Switch,25,7,0,False
TJ,Hepburn,The Carnivore,"5' 7""",155 lbs.,--,,4,2,0,False
Jai,Herbert,Black Country Banger,"6' 1""",155 lbs.,"77.0""",Orthodox,13,6,1,False
Ed,Herman,Short Fuse,"6' 1""",205 lbs.,"77.0""",Orthodox,27,16,0,False
Dave,Herman,,"6' 4""",242 lbs.,"77.0""",Orthodox,22,6,0,False
Jack,Hermansson,The Joker,"6' 1""",185 lbs.,"77.0""",Orthodox,24,9,0,False
Noe,Hernandez,,--,--,--,Orthodox,5,5,0,False
Joe,Hernandez,,--,--,--,,0,1,0,False
Ramiro,Hernandez,Junior,"5' 9""",135 lbs.,--,Orthodox,19,9,0,False
Alexander,Hernandez,El Gran Chango,"5' 9""",155 lbs.,"72.0""",Orthodox,18,8,0,False
Anthony,Hernandez,Fluffy,"6' 0""",185 lbs.,"75.0""",Orthodox,15,2,0,False
Nohelin,Hernandez,Suave,"5' 10""",135 lbs.,"71.0""",Orthodox,9,4,0,False
Carlos,Hernandez,,"5' 8""",125 lbs.,"67.0""",Orthodox,10,5,0,False
Leslie,Hernandez,Dora The Destroyer,"5' 3""",115 lbs.,"64.0""",Orthodox,4,2,0,False
Paul,Herrera,The Bone Crusher,"5' 10""",185 lbs.,--,Orthodox,1,1,0,False
Chris,Herrera,The Crusher,"5' 10""",185 lbs.,--,,3,2,1,False
Geane,Herrera,La Pulga,"5' 5""",125 lbs.,"66.0""",Orthodox,9,3,0,False
Alvaro,Herrera Mendoza,Chango,"6' 0""",155 lbs.,"74.0""",Orthodox,9,6,0,False
Felice,Herrig,Lil Bulldog,"5' 4""",115 lbs.,"65.0""",Orthodox,14,10,0,False
Heath,Herring,The Texas Crazy Horse,"6' 4""",250 lbs.,"78.0""",Orthodox,28,16,0,False
Jon,Hess,,"6' 7""",295 lbs.,--,,1,1,0,False
Clint,Hester,Headbussa,"6' 2""",205 lbs.,"77.0""",Orthodox,11,6,0,False
Brandon,Hester,The Beast,"6' 1""",205 lbs.,--,,3,0,0,False
Jimy,Hettes,The Kid,"5' 9""",145 lbs.,"71.0""",Southpaw,11,3,0,False
Conor,Heun,Hurricane,"5' 10""",155 lbs.,--,Orthodox,9,5,0,False
Marcus,Hicks,The Wrecking Ball,"5' 6""",155 lbs.,"64.0""",Southpaw,10,4,0,False
Jay,Hieron,The Thoroughbred,"6' 0""",170 lbs.,"75.0""",Orthodox,23,7,0,False
Brady,Hiestand,Bam Bam,"5' 8""",135 lbs.,"71.0""",Orthodox,9,2,0,False
Lee,Higgins,,--,155 lbs.,--,,2,1,0,False
Jason,High,The Kansas City Bandit,"5' 8""",155 lbs.,"73.0""",Southpaw,21,6,0,False
Richie,Hightower,The Dirty Samurai,"5' 8""",170 lbs.,--,Orthodox,8,4,0,False
Alex,Higley,,"5' 10""",145 lbs.,--,,4,3,0,False
Corey,Hill,,"6' 4""",155 lbs.,"80.0""",Orthodox,6,9,0,False
Isaiah,Hill,,"5' 10""",155 lbs.,--,,5,7,1,False
Angela,Hill,Overkill,"5' 3""",115 lbs.,"64.0""",Orthodox,18,15,0,False
Tyler,Hill,,"6' 3""",170 lbs.,--,Switch,8,2,0,False
Jamahal,Hill,Sweet Dreams,"6' 4""",205 lbs.,"79.0""",Southpaw,12,4,0,False
Kailan,Hill,,"6' 1""",185 lbs.,"77.0""",Southpaw,4,1,0,False
Alvin,Hines,Goozie,"6' 2""",265 lbs.,"74.0""",Orthodox,7,1,0,False
Branden Lee,Hinkle,The Iron Lion,"6' 3""",235 lbs.,--,Orthodox,17,11,0,False
Hatsu,Hioki,,"5' 11""",145 lbs.,"73.0""",Orthodox,29,10,2,False
Alan,Hiro,Yamaniha,"5' 5""",135 lbs.,--,Orthodox,14,5,4,False
Kuniyoshi,Hironaka,,"5' 10""",168 lbs.,"70.0""",Orthodox,23,9,0,False
Mizuto,Hirota,Pugnus,"5' 7""",155 lbs.,"67.0""",Orthodox,18,10,2,False
Yuji,Hisamatsu,,"5' 10""",185 lbs.,--,,16,22,6,False
An Tuan,Ho,Highlight,"5' 6""",125 lbs.,"66.0""",Switch,6,2,0,False
Kwan,Ho Kwak,,"5' 5""",135 lbs.,--,Switch,9,2,0,False
Matt,Hobar,The Crowbar,"5' 10""",135 lbs.,"70.0""",Southpaw,9,3,0,False
Bobby,Hoffman,The Truth,"6' 2""",245 lbs.,--,Orthodox,36,10,1,False
Chris,Hofmann,,"6' 0""",170 lbs.,"72.0""",Orthodox,9,2,0,False
Sam,Hoger,The Alaskan Assassin,"6' 2""",205 lbs.,--,Orthodox,10,4,0,False
Josh,Hokit,The Incredible Hok,"6' 1""",238 lbs.,"73.0""",Orthodox,6,0,0,False
Andrew,Holbrook,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,3,0,False
Sean,Holden,,"5' 10""",170 lbs.,--,,5,2,0,False
Chris,Holdsworth,,"5' 11""",135 lbs.,--,,6,0,0,False
Kevin,Holland,Trailblazer,"6' 3""",170 lbs.,"81.0""",Orthodox,28,14,0,False
Roger,Hollett,The Hulk,"5' 11""",205 lbs.,--,Orthodox,13,5,0,False
Max,Holloway,Blessed,"5' 11""",145 lbs.,"69.0""",Orthodox,27,8,0,False
Gabrielle,Holloway,Gabanator,"5' 3""",145 lbs.,--,,6,5,0,False
Jeremie,Holloway,Hit Em,"6' 0""",170 lbs.,--,,8,3,0,False
Holly,Holm,The Preacher's Daughter,"5' 8""",135 lbs.,"69.0""",Southpaw,15,7,0,False
Rex,Holman,Big Dog,"6' 3""",205 lbs.,--,Southpaw,4,2,0,False
Joseph,Holmes,Uglyman Joe,"6' 4""",185 lbs.,"80.0""",Orthodox,8,4,0,False
Brandon,Holmes,,"6' 2""",185 lbs.,"74.0""",Orthodox,5,1,0,False
Kurt,Holobaugh,The Hurt,"5' 11""",155 lbs.,"70.0""",Orthodox,22,10,0,False
Paddy,Holohan,The Hooligan,"5' 10""",125 lbs.,"69.0""",Orthodox,12,2,1,False
Ben,Holscher,The Teacher,"5' 11""",155 lbs.,--,,4,0,0,False
Mark,Holst,Boots,"6' 0""",155 lbs.,--,Orthodox,12,6,0,False
Scott,Holtzman,Hot Sauce,"5' 9""",155 lbs.,"69.0""",Orthodox,14,6,0,False
Sabah,Homasi,,"6' 0""",170 lbs.,"72.0""",Orthodox,11,8,0,False
Mark,Hominick,The Machine,"5' 8""",145 lbs.,"68.0""",Orthodox,20,12,0,False
Barb,Honchak,Little Warrior,"5' 4""",125 lbs.,"65.0""",Orthodox,10,4,0,False
Chris,Honeycutt,The Cutt,"5' 10""",170 lbs.,"73.0""",,9,1,0,False
JunYoung,Hong,Drunken Red,"5' 9""",145 lbs.,"69.0""",Orthodox,13,8,1,False
SeongChan,Hong,Honey Badger,"5' 7""",155 lbs.,"69.0""",Orthodox,9,2,0,False
Satoshi,Honma,,"6' 1""",205 lbs.,--,Orthodox,4,6,3,False
David,Hood,,"6' 0""",200 lbs.,--,,1,3,0,False
Lorenzo,Hood,Dream Killer,"6' 3""",265 lbs.,"80.0""",Southpaw,14,5,0,False
Dan,Hooker,The Hangman,"6' 0""",155 lbs.,"75.0""",Switch,24,12,0,False
Chase,Hooper,The Dream,"6' 1""",155 lbs.,"74.0""",Southpaw,16,4,1,False
Darrell,Horcher,The Saint,"5' 10""",155 lbs.,"70.0""",Southpaw,13,4,0,False
Moti,Horenstein,,"6' 4""",230 lbs.,--,Orthodox,1,6,0,False
Yoshinori,Horie,,"5' 8""",145 lbs.,"70.0""",Orthodox,8,2,0,False
Kyoji,Horiguchi,,"5' 5""",125 lbs.,"66.0""",Orthodox,19,2,0,False
Yuma,Horiuchi,Ichiban,"5' 6""",125 lbs.,"67.0""",Switch,9,5,0,False
Jeremy,Horn,Gumby,"6' 1""",185 lbs.,"74.0""",Orthodox,91,22,5,False
Matt,Horning,Horndog,"5' 4""",125 lbs.,--,,20,25,0,False
Chris,Horodecki,The Polish Hammer,"5' 9""",155 lbs.,"69.0""",Orthodox,21,7,1,False
Jamey-Lyn,Horth,,"5' 7""",125 lbs.,"66.0""",Orthodox,8,2,0,False
Matt,Horwich,Suave,"6' 1""",185 lbs.,--,Orthodox,30,25,1,False
John,Hosman,,"5' 10""",135 lbs.,--,Southpaw,18,8,1,False
Saeed,Hosseini,,--,--,--,,0,1,0,False
Jeff,Hougland,Hellbound,"5' 7""",135 lbs.,"68.0""",Orthodox,10,6,0,False
Trey,Houston,,"5' 11""",185 lbs.,--,,11,4,0,False
Jamie,Houston,,--,185 lbs.,--,,3,0,0,False
Brian,Houston,B-Hue,"6' 2""",185 lbs.,--,Orthodox,4,6,0,False
Harold,Howard,,"6' 2""",240 lbs.,--,Orthodox,1,3,0,False
John,Howard,Doomsday,"5' 7""",170 lbs.,"72.0""",Orthodox,24,13,0,False
Shane,Howell,,"5' 8""",125 lbs.,--,Orthodox,13,10,0,False
Hu,Yaozong,Totoro,"6' 3""",185 lbs.,"72.0""",Orthodox,3,3,0,False
Carlos,Huachin,Perro Malo,"5' 4""",135 lbs.,"67.0""",Southpaw,10,5,1,False
Brady,Huang,The Kung Fu Warrior,"5' 9""",135 lbs.,"69.0""",Orthodox,11,2,0,False
Yuele,Huang,,--,145 lbs.,--,,13,0,0,False
Huang,Feier,Muscle Barbie,"5' 5""",115 lbs.,"65.0""",Orthodox,14,8,0,False
Austin,Hubbard,Thud,"5' 10""",155 lbs.,"71.0""",Orthodox,17,10,0,False
Collin,Huckbody,All In,"6' 3""",185 lbs.,"76.0""",Orthodox,8,2,0,False
Alex,Huddleston,The Shaved Gorilla,"6' 7""",254 lbs.,--,,6,2,0,False
