item,idx,token,surprisal
3.6,37,se,7.967133522033691
3.6,38,ine,2.3074727058410645
3.6,39,v,8.937660217285156
3.6,40,ier,5.202184677124023
3.6,41,Kinder,11.581856727600098
3.6,42,.,5.314269542694092
3.6,43,Tim,14.268683433532715
3.6,44,s,10.979460716247559
3.6,45,Volvo,18.6164608001709
3.6,46,is,4.531710624694824
3.6,47,t,0.1313839703798294
3.6,48,ger,10.804676055908203
3.6,49,ä,4.444948673248291
3.6,50,um,10.442322731018066
3.6,51,ig,6.559572219848633
3.6,52,gen,11.48788833618164
3.6,53,ug,3.117004871368408
3.6,54,",",3.314413547515869
3.6,55,um,6.212541580200195
3.6,56,se,5.433291912078857
3.6,57,ine,3.1072945594787598
3.6,58,v,5.5210280418396
3.6,59,ier,0.8507359027862549
3.6,60,Kinder,2.4503724575042725
3.6,61,be,6.633130073547363
3.6,62,qu,11.680537223815918
3.6,63,em,4.596717357635498
3.6,64,z,7.8946146965026855
3.6,65,u,0.7849594354629517
3.6,66,transport,15.740488052368164
3.6,67,ie,7.477687358856201
3.6,68,ren,0.5835732221603394
3.6,69,und,6.909889221191406
3.6,70,b,8.210143089294434
3.6,71,iet,6.277220726013184
3.6,72,et,5.128581523895264
3.6,73,z,6.285721778869629
3.6,74,ud,11.053548812866211
3.6,75,em,6.3069353103637695
3.6,76,e,4.843630790710449
3.6,77,ine,2.2228598594665527
3.6,78,lux,14.705007553100586
3.6,79,uri,6.0270233154296875
3.6,80,ö,8.700156211853027
3.6,81,se,5.736870765686035
3.6,82,Aus,10.927254676818848
3.6,83,st,5.039383411407471
3.6,84,att,5.799150466918945
3.6,85,ung,0.792240560054779
3.6,86,.,2.941709280014038
3.6,87,Tim,6.6567702293396
3.6,88,s,3.690460205078125
3.6,89,Volvo,1.9931100606918335
3.6,90,is,1.1572216749191284
3.6,91,t,0.09019772708415985
3.6,92,r,8.861227035522461
3.6,93,ie,4.436792373657227
3.6,94,ß,4.397596836090088
3.6,95,ig,5.8284010887146
3.6,96,.,7.297903060913086
4.3,1,Che,13.5560302734375
4.3,2,far,14.770326614379883
4.3,3,z,7.983034133911133
4.3,4,t,9.5330228805542
4.3,5,Ne,13.038983345031738
4.3,6,uge,8.539920806884766
4.3,7,b,0.014639448374509811
4.3,8,auer,0.035834770649671555
4.3,9,ar,13.701133728027344
4.3,10,beit,2.1219794750213623
4.3,11,et,6.11269474029541
4.3,12,se,8.584208488464355
4.3,13,it,4.278818130493164
4.3,14,1980,13.393218994140625
4.3,15,al,11.683959007263184
4.3,16,s,0.3581632971763611
4.3,17,Herz,10.977096557617188
4.3,18,ch,10.912813186645508
4.3,19,ir,9.56100845336914
4.3,20,urg,5.008477210998535
4.3,21,im,6.239619255065918
4.3,22,Kr,10.347426414489746
4.3,23,ank,0.8377607464790344
4.3,24,en,2.2777812480926514
4.3,25,haus,9.375798225402832
4.3,26,von,8.076199531555176
4.3,27,Mann,12.194135665893555
