Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition
3,1,2,35,2.072,0.15,26,Slow
3,1,1,30,1.243,0.941,29,Slow
3,2,2,48,0.982,1.801,29,Slow
3,1,2,30,1.848,1.571,26,Slow
3,2,2,35,1.747,1.797,29,Slow
3,2,2,50,0.907,0.175,29,Slow
3,1,1,50,0.747,0.295,26,Slow
3,1,2,30,2.098,0.204,26,Slow
3,1,1,37,2.127,1.775,29,Slow
3,1,2,25,2.248,1.016,29,Slow
3,2,2,40,1.017,0.3,32,Slow
3,2,2,40,1.292,0.311,32,Slow
3,2,1,35,1.312,0.064,29,Slow
3,2,2,45,1.023,0.331,32,Slow
3,2,2,40,0.881,0.25,32,Slow
3,2,2,35,1.912,0.04,29,Slow
3,1,1,25,2.178,2.47,29,Slow
3,2,2,28,1.627,0.707,26,Slow
3,2,2,40,1.192,0.185,26,Slow
3,2,1,25,1.837,0.241,23,Slow
3,1,2,40,0.837,0.225,26,Slow
3,2,2,30,1.352,0.31,29,Slow
3,1,1,35,1.137,0.107,29,Slow
3,2,1,25,1.692,0.375,26,Slow
3,2,2,10,0.837,0.006,29,Slow
3,1,1,25,2.083,2.96,29,Slow
3,1,1,15,2.802,2.016,26,Slow
3,2,2,40,0.812,0.511,26,Slow
3,2,2,35,1.192,0.612,23,Slow
3,1,1,35,1.242,0.136,23,Slow
3,2,2,30,2.222,0.371,23,Slow
3,1,2,20,2.193,0.561,23,Slow
4,1,1,88,1.378,0.426,53,Baseline
4,1,1,44,1.804,0.13,53,Baseline
4,2,2,89,1.277,0.264,50,Baseline
4,2,2,77,1.232,0.12,50,Baseline
4,1,2,23,2.271,0.315,47,Baseline
4,2,2,44,1.623,0.055,50,Baseline
4,1,1,1,2.272,0.231,50,Baseline
